time,V(OUT)
0.000000000000000000e+00,-3.470800558862313428e-04
9.999999999999999547e-08,-2.631523137817860401e-04
1.999999999999999909e-07,-2.247633659471377754e-04
2.999999999999999864e-07,7.611498589923552461e-04
3.999999999999999819e-07,-1.710152967664114955e-04
4.999999999999999774e-07,-8.080426863899022993e-04
5.999999999999999728e-07,-1.185358515645487101e-03
6.999999999999999683e-07,7.438964538007694985e-03
7.999999999999999638e-07,9.734975413781727510e-03
8.999999999999999593e-07,8.071774248472725344e-03
9.999999999999999547e-07,9.518960384163253213e-03
1.100000000000000056e-06,5.733503707895245063e-03
1.199999999999999946e-06,6.866715617378714789e-03
1.299999999999999835e-06,5.988343114637329281e-03
1.399999999999999937e-06,7.680152745227148206e-03
1.500000000000000038e-06,8.274292951569226992e-03
1.599999999999999928e-06,8.740317226509733764e-03
1.699999999999999817e-06,8.551722053824904052e-03
1.799999999999999919e-06,8.768138023356474714e-03
1.900000000000000020e-06,1.539495051469886265e-02
1.999999999999999909e-06,1.506455103886046240e-02
2.099999999999999799e-06,1.469244397535169125e-02
2.200000000000000112e-06,1.718325192078603778e-02
2.300000000000000002e-06,1.640564549878221687e-02
2.399999999999999891e-06,1.523663792684043679e-02
2.499999999999999781e-06,1.567656619368452270e-02
2.599999999999999671e-06,1.664887570323586585e-02
2.699999999999999984e-06,1.492409242291900875e-02
2.799999999999999873e-06,1.589161166112369739e-02
2.899999999999999763e-06,1.543392428757124450e-02
3.000000000000000076e-06,1.689665997136391429e-02
3.099999999999999966e-06,1.531559671421432733e-02
3.199999999999999855e-06,2.413148496657436387e-02
3.299999999999999745e-06,2.245117033790663616e-02
3.399999999999999634e-06,2.233832760600509837e-02
3.499999999999999947e-06,2.221310157163030111e-02
3.599999999999999837e-06,2.441619180316833421e-02
3.699999999999999727e-06,2.408406002843914775e-02
3.800000000000000040e-06,2.477180783381740387e-02
3.899999999999999929e-06,2.407062399135970199e-02
3.999999999999999819e-06,2.356889534688993634e-02
4.099999999999999709e-06,2.316269496715404538e-02
4.199999999999999598e-06,2.446503266165771587e-02
4.299999999999999488e-06,2.406287051583526002e-02
4.400000000000000224e-06,3.045005619819391232e-02
4.500000000000000114e-06,3.068678086584880962e-02
4.600000000000000004e-06,3.141451517279101463e-02
4.699999999999999893e-06,3.126554716469729517e-02
4.799999999999999783e-06,3.204331438899464535e-02
4.899999999999999672e-06,3.192763169731201167e-02
4.999999999999999562e-06,3.048641265451757648e-02
5.099999999999999452e-06,3.016997137835632919e-02
5.199999999999999341e-06,2.960255738556387059e-02
5.300000000000000078e-06,3.124951256249050915e-02
5.399999999999999967e-06,3.305828481167596977e-02
5.499999999999999857e-06,3.104169311016646143e-02
5.599999999999999747e-06,3.904196469396423869e-02
5.699999999999999636e-06,3.931952547145233651e-02
5.799999999999999526e-06,3.907967286733373541e-02
5.899999999999999415e-06,3.784571416196412519e-02
6.000000000000000152e-06,3.837334999453195783e-02
6.100000000000000042e-06,3.881234832517119204e-02
6.199999999999999931e-06,4.063739194253097181e-02
6.299999999999999821e-06,4.026551523279891381e-02
6.399999999999999710e-06,3.791924970161329733e-02
6.499999999999999600e-06,4.040148439039126932e-02
6.599999999999999490e-06,4.080665463396274117e-02
6.699999999999999379e-06,3.950684536159978361e-02
6.799999999999999269e-06,3.845953120776567785e-02
6.900000000000000005e-06,4.694216837643932355e-02
6.999999999999999895e-06,4.844462683701871580e-02
7.099999999999999785e-06,4.574530128627253556e-02
7.199999999999999674e-06,4.646245122172047021e-02
7.299999999999999564e-06,4.727840101081103724e-02
7.399999999999999453e-06,4.652493266230901814e-02
7.499999999999999343e-06,4.518971723552962783e-02
7.600000000000000080e-06,4.571998253116248828e-02
7.699999999999999122e-06,4.550504817243907624e-02
7.799999999999999859e-06,4.643012389459696965e-02
7.899999999999998901e-06,4.867693585890880276e-02
7.999999999999999638e-06,4.826011036600330595e-02
8.100000000000000375e-06,5.472347003753121053e-02
8.199999999999999417e-06,5.533528569907816830e-02
8.300000000000000154e-06,5.486379113648040540e-02
8.399999999999999196e-06,5.449546443981458793e-02
8.499999999999999933e-06,5.472516555435725377e-02
8.599999999999998976e-06,5.436531917299390615e-02
8.699999999999999712e-06,5.341557141880095422e-02
8.800000000000000449e-06,5.471774845936377279e-02
8.899999999999999491e-06,5.388795593728018529e-02
9.000000000000000228e-06,5.417034992960668982e-02
9.099999999999999271e-06,5.514751101963706603e-02
9.200000000000000007e-06,5.309409195976406287e-02
9.299999999999999050e-06,5.357527118179495479e-02
9.399999999999999786e-06,6.248922062155640167e-02
9.499999999999998829e-06,6.131406956015315185e-02
9.599999999999999566e-06,6.185581378985301193e-02
9.700000000000000302e-06,6.335375264059220357e-02
9.799999999999999345e-06,6.221894446891575170e-02
9.900000000000000081e-06,6.174432850503344672e-02
9.999999999999999124e-06,6.328324342228469623e-02
1.009999999999999986e-05,6.076378781081114705e-02
1.019999999999999890e-05,6.104137851120085279e-02
1.029999999999999964e-05,6.112080988680692467e-02
1.039999999999999868e-05,6.181741604660422745e-02
1.049999999999999942e-05,6.092437536135816151e-02
1.060000000000000016e-05,7.215186156862242461e-02
1.069999999999999920e-05,6.771193910357610479e-02
