time,V(OUT)
0.000000000000000000e+00,-1.502183800623802966e-03
9.999999999999999547e-08,1.313163145467650299e-03
1.999999999999999909e-07,1.699438283412499579e-03
2.999999999999999864e-07,1.295778821579700410e-04
3.999999999999999819e-07,-1.773691305416235904e-03
4.999999999999999774e-07,-7.722758770835593195e-04
5.999999999999999728e-07,-8.218937766232054963e-04
6.999999999999999683e-07,-5.557790201118779352e-04
7.999999999999999638e-07,-8.846990094097119091e-04
8.999999999999999593e-07,5.205949033476943736e-04
9.999999999999999547e-07,2.473935045646494962e-04
1.100000000000000056e-06,1.580062740361487961e-03
1.199999999999999946e-06,-3.891534108986714172e-04
1.299999999999999835e-06,2.001823007100767687e-04
1.399999999999999937e-06,7.411282398691281100e-04
1.500000000000000038e-06,1.021671586972511432e-03
1.599999999999999928e-06,-1.234905108959386336e-03
1.699999999999999817e-06,4.048439424554901682e-04
1.799999999999999919e-06,1.466583348045535787e-04
1.900000000000000020e-06,3.027963758452016738e-04
1.999999999999999909e-06,5.963657193737508758e-05
2.099999999999999799e-06,1.712871748174758400e-03
2.200000000000000112e-06,-8.908385583502704489e-04
2.300000000000000002e-06,-9.500034796492706508e-04
2.399999999999999891e-06,-8.209729103700815107e-04
2.499999999999999781e-06,-2.901985946204512141e-04
2.599999999999999671e-06,2.933170134555998314e-04
2.699999999999999984e-06,7.356357730219599197e-03
2.799999999999999873e-06,8.818812078841997693e-03
2.899999999999999763e-06,7.808998125392237546e-03
3.000000000000000076e-06,7.716123911880475722e-03
3.099999999999999966e-06,6.482257992583131088e-03
3.199999999999999855e-06,9.633590003967393289e-03
3.299999999999999745e-06,7.765048430347140825e-03
3.399999999999999634e-06,9.449604941268110667e-03
3.499999999999999947e-06,7.190235620018606451e-03
3.599999999999999837e-06,8.643123230945938540e-03
3.699999999999999727e-06,7.249877074328278832e-03
3.800000000000000040e-06,9.631542080151850316e-03
3.899999999999999929e-06,1.674577163007216762e-02
3.999999999999999819e-06,1.647453800066579072e-02
4.099999999999999709e-06,1.490028441123570843e-02
4.199999999999999598e-06,1.753166012390390896e-02
4.299999999999999488e-06,1.766297653159062606e-02
4.400000000000000224e-06,1.524535719975098243e-02
4.500000000000000114e-06,1.578666288707098603e-02
4.600000000000000004e-06,1.655181152357365973e-02
4.699999999999999893e-06,1.365282087286175464e-02
4.799999999999999783e-06,1.677087016778445322e-02
4.899999999999999672e-06,1.664867397204780955e-02
4.999999999999999562e-06,1.506185597027635999e-02
5.099999999999999452e-06,1.343268543938807257e-02
5.199999999999999341e-06,2.377068242899512546e-02
5.300000000000000078e-06,2.230383780940379743e-02
5.399999999999999967e-06,2.184929579062121208e-02
5.499999999999999857e-06,2.380820876166439212e-02
5.599999999999999747e-06,2.475545637739161309e-02
5.699999999999999636e-06,2.321856824645487233e-02
5.799999999999999526e-06,2.462263932872017780e-02
5.899999999999999415e-06,2.410163465855557491e-02
6.000000000000000152e-06,2.206431004347789854e-02
6.100000000000000042e-06,2.288337751603222378e-02
6.199999999999999931e-06,2.451676821796597988e-02
6.299999999999999821e-06,2.287523716290050177e-02
6.399999999999999710e-06,3.206910667448058944e-02
6.499999999999999600e-06,3.083985073095317844e-02
6.599999999999999490e-06,3.197125526310615889e-02
6.699999999999999379e-06,3.167910447749992808e-02
6.799999999999999269e-06,3.100170784900206644e-02
6.900000000000000005e-06,3.194305500717040114e-02
6.999999999999999895e-06,2.909012643689586064e-02
7.099999999999999785e-06,3.016432933874156272e-02
7.199999999999999674e-06,3.078637179379279526e-02
7.299999999999999564e-06,3.242270235473811851e-02
7.399999999999999453e-06,2.980382598320837143e-02
7.499999999999999343e-06,3.121531099778718232e-02
7.600000000000000080e-06,3.937993253763127227e-02
7.699999999999999122e-06,3.931004240283926532e-02
7.799999999999999859e-06,3.896391265101969981e-02
7.899999999999998901e-06,3.844191611304268591e-02
7.999999999999999638e-06,3.881582943880130393e-02
8.100000000000000375e-06,4.003726530545233947e-02
8.199999999999999417e-06,3.837419611304115907e-02
8.300000000000000154e-06,3.690315899937893218e-02
8.399999999999999196e-06,3.952867390498561451e-02
8.499999999999999933e-06,4.055834091151012955e-02
8.599999999999998976e-06,3.801128299599671606e-02
8.699999999999999712e-06,4.042325081046845014e-02
8.800000000000000449e-06,3.958316733205823057e-02
8.899999999999999491e-06,4.571863470439695154e-02
9.000000000000000228e-06,4.617127001954048765e-02
9.099999999999999271e-06,4.612746359001960311e-02
9.200000000000000007e-06,4.704403046159209151e-02
9.299999999999999050e-06,4.669371777275724278e-02
9.399999999999999786e-06,4.798056817728910128e-02
9.499999999999998829e-06,4.772437197398784331e-02
9.599999999999999566e-06,4.532971021934445455e-02
9.700000000000000302e-06,4.545603959240775149e-02
9.799999999999999345e-06,4.748927748642349511e-02
9.900000000000000081e-06,4.635956687488192174e-02
9.999999999999999124e-06,4.670012422000104080e-02
1.009999999999999986e-05,5.523405838742360963e-02
1.019999999999999890e-05,5.554597284551276298e-02
1.029999999999999964e-05,5.345411547801908608e-02
1.039999999999999868e-05,5.246589064017727344e-02
1.049999999999999942e-05,5.457435342783110294e-02
1.060000000000000016e-05,5.383265817279319493e-02
1.069999999999999920e-05,5.475375043336271758e-02
1.079999999999999993e-05,5.459888877745838059e-02
1.089999999999999898e-05,5.371208933998108254e-02
1.099999999999999971e-05,5.677436333059777268e-02
1.109999999999999876e-05,5.470450131537558935e-02
1.119999999999999949e-05,5.411374484530743351e-02
1.130000000000000023e-05,5.478893377014378702e-02
1.139999999999999927e-05,6.302987851629351934e-02
1.150000000000000001e-05,6.186746112712320639e-02
1.159999999999999905e-05,6.482025612828537509e-02
1.169999999999999979e-05,6.097741655069128380e-02
1.179999999999999883e-05,6.104694092468064548e-02
1.189999999999999957e-05,6.090066582070537832e-02
1.200000000000000030e-05,6.250389119579578823e-02
1.209999999999999935e-05,6.297295485252225877e-02
1.220000000000000008e-05,6.216954210649296153e-02
1.229999999999999913e-05,6.296997525194027168e-02
1.239999999999999986e-05,6.295655714750827969e-02
1.249999999999999890e-05,6.213923648872073102e-02
1.259999999999999964e-05,7.073990197998566987e-02
1.269999999999999868e-05,7.011605393926631513e-02
1.279999999999999942e-05,6.990347622323081489e-02
1.290000000000000016e-05,6.981399099786317342e-02
1.299999999999999920e-05,7.054554497411204272e-02
1.309999999999999994e-05,7.153029113416066453e-02
1.319999999999999898e-05,6.910746852008251007e-02
1.329999999999999972e-05,6.983220081652549704e-02
1.339999999999999876e-05,7.047516655378027739e-02
1.349999999999999949e-05,7.206935975121865623e-02
1.359999999999999854e-05,7.074419179800928159e-02
1.369999999999999927e-05,6.949979504676823128e-02
1.380000000000000001e-05,6.938860236122985914e-02
1.389999999999999905e-05,7.911009509612826340e-02
1.399999999999999979e-05,7.781136829359838747e-02
1.409999999999999883e-05,7.689409009183850729e-02
1.419999999999999957e-05,7.913880276449994366e-02
1.429999999999999861e-05,7.843318459816110699e-02
1.439999999999999935e-05,7.693085261847394662e-02
1.450000000000000009e-05,7.678467254415070886e-02
1.459999999999999913e-05,7.595736140911989176e-02
1.469999999999999986e-05,7.750262301403972043e-02
1.479999999999999891e-05,7.842957942305131547e-02
1.489999999999999964e-05,7.908555362960661972e-02
1.499999999999999869e-05,7.854994308225814181e-02
1.509999999999999942e-05,8.463267236130117555e-02
1.520000000000000016e-05,8.565379405793613343e-02
1.529999999999999920e-05,8.736687525859261616e-02
1.539999999999999824e-05,8.542539392321160663e-02
1.550000000000000068e-05,8.670637023884829320e-02
1.559999999999999972e-05,8.658284745600011711e-02
1.569999999999999876e-05,8.669731693215727841e-02
1.579999999999999780e-05,8.636869485152552650e-02
1.590000000000000023e-05,8.669423403548999485e-02
1.599999999999999928e-05,8.445594759187968759e-02
1.609999999999999832e-05,8.745283051108507233e-02
1.620000000000000075e-05,8.413092144675041184e-02
1.629999999999999979e-05,8.624930629326632570e-02
1.639999999999999883e-05,9.370154689043777574e-02
1.649999999999999788e-05,9.312436748365184036e-02
1.660000000000000031e-05,9.277483974976986902e-02
1.669999999999999935e-05,9.429974965638218687e-02
1.679999999999999839e-05,9.455133804589647972e-02
1.690000000000000082e-05,9.364692552952623428e-02
