time,V(OUT)
0.000000000000000000e+00,1.027380718601384052e-01
9.999999999999999547e-08,1.542382711638125570e-01
1.999999999999999909e-07,2.954393851312417940e-01
2.999999999999999864e-07,4.904864743929837068e-01
3.999999999999999819e-07,6.191019692815570297e-01
4.999999999999999774e-07,7.323796504525958984e-01
5.999999999999999728e-07,8.740852110071408720e-01
6.999999999999999683e-07,9.932151516798085611e-01
7.999999999999999638e-07,1.107370820356808228e+00
8.999999999999999593e-07,1.225062436732650584e+00
9.999999999999999547e-07,1.328905772367163785e+00
1.100000000000000056e-06,1.416062320743891600e+00
1.199999999999999946e-06,1.518976444118135705e+00
1.299999999999999835e-06,1.613839772523592897e+00
1.399999999999999937e-06,1.689199231174443483e+00
1.500000000000000038e-06,1.765386764014990062e+00
1.599999999999999928e-06,1.841958464321030498e+00
1.699999999999999817e-06,1.919937463726639093e+00
1.799999999999999919e-06,1.983370391495830054e+00
1.900000000000000020e-06,2.050934493261135749e+00
1.999999999999999909e-06,2.112897373269590151e+00
2.099999999999999799e-06,2.180155926882324291e+00
2.200000000000000112e-06,2.229477181620344695e+00
2.300000000000000002e-06,2.280075599724574076e+00
2.399999999999999891e-06,2.332563672617979034e+00
2.499999999999999781e-06,2.380829374833747902e+00
2.599999999999999671e-06,2.436146972134988875e+00
2.699999999999999984e-06,2.474744821213304302e+00
2.799999999999999873e-06,2.514908989119821747e+00
2.899999999999999763e-06,2.549514292608024757e+00
3.000000000000000076e-06,2.592758424541295348e+00
3.099999999999999966e-06,2.630918398942496239e+00
3.199999999999999855e-06,2.657346815345547952e+00
3.299999999999999745e-06,2.694061542935993536e+00
3.399999999999999634e-06,2.721442720251153968e+00
3.499999999999999947e-06,2.743496258947639710e+00
3.599999999999999837e-06,2.785444571347806431e+00
3.699999999999999727e-06,2.808999505856850210e+00
3.800000000000000040e-06,2.833460397251365670e+00
3.899999999999999929e-06,2.847141914222753201e+00
3.999999999999999819e-06,2.874617671707943689e+00
4.099999999999999709e-06,2.899154176187673571e+00
4.199999999999999598e-06,2.913845360297543596e+00
4.299999999999999488e-06,2.936350143667493917e+00
4.400000000000000224e-06,2.948762478684575861e+00
4.500000000000000114e-06,2.979792956151215311e+00
4.600000000000000004e-06,2.991980700194101672e+00
4.699999999999999893e-06,3.001941679746129132e+00
4.799999999999999783e-06,3.016401750534793980e+00
4.899999999999999672e-06,3.030826135590301895e+00
4.999999999999999562e-06,3.042816300912435601e+00
5.099999999999999452e-06,3.055300459644274991e+00
5.199999999999999341e-06,3.069611481121969021e+00
5.300000000000000078e-06,3.079763306287198077e+00
5.399999999999999967e-06,3.093796767672996939e+00
5.499999999999999857e-06,3.106613852042561241e+00
5.599999999999999747e-06,3.119122106928493121e+00
5.699999999999999636e-06,3.118946541732868560e+00
5.799999999999999526e-06,3.132531177356742802e+00
5.899999999999999415e-06,3.145364111243977856e+00
6.000000000000000152e-06,3.143739858536197751e+00
6.100000000000000042e-06,3.159405818864850612e+00
6.199999999999999931e-06,3.156738547188350452e+00
6.299999999999999821e-06,3.170766399833178983e+00
6.399999999999999710e-06,3.170650829290919681e+00
6.499999999999999600e-06,3.184521530418988444e+00
6.599999999999999490e-06,3.180805719089673467e+00
6.699999999999999379e-06,3.198211364722394201e+00
6.799999999999999269e-06,3.195859514478581520e+00
