time,V(OUT)
0.000000000000000000e+00,1.104233049393283961e-04
1.818181818181818180e-03,-9.056961720751732781e-01
3.636363636363636360e-03,-7.572634102777090481e-01
5.454545454545454974e-03,2.802819626024981581e-01
7.272727272727272721e-03,9.907793047901257699e-01
9.090909090909090468e-03,5.395907968952509126e-01
1.090909090909090995e-02,-5.398523435211570742e-01
1.272727272727272770e-02,-9.920808809312371412e-01
1.454545454545454544e-02,-2.814891583413444698e-01
1.636363636363636492e-02,7.573363238580050893e-01
1.818181818181818094e-02,9.067966954796145007e-01
